"ClienteID","Edad","Genero","CategoríaProducto","FechaCompra","Precio","Cantidad","Descuento","MétodoPago","TotalVenta"
24,24,"F","Alimentos",2023-03-28,49.31,4,58.09,"Transferencia",82.66
25,59,"M","Hogar",2023-08-04,406.09,1,23.29,"Tarjeta",311.51
26,26,"F","Alimentos",2023-03-09,133.85,6,62.25,"Tarjeta",303.17
27,36,"M","Alimentos",2023-11-01,392.23,3,18.44,"Transferencia",959.71
28,53,"M","Hogar",2023-04-04,12.88,1,76.95,"Transferencia",2.97
29,31,"F","Alimentos",2023-07-08,269.75,7,27.79,"Transferencia",1363.51
30,34,"M","Electrónica",2023-03-27,298.37,2,77.56,"Cash",133.91
31,60,"M","Alimentos",2023-09-28,304.07,4,41.11,"Cash",716.27
32,56,"M","Hogar",2023-12-24,320.38,3,18.85,"Tarjeta",779.97
33,70,"M","Alimentos",2023-10-24,495.1,4,71.98,"Cash",554.91
34,29,"M","Alimentos",2023-01-09,253.79,6,8.49,"Transferencia",1393.46
35,32,"M","Ropa",2023-12-09,319.79,8,69.51,"Tarjeta",780.03
36,49,"F","Electrónica",2023-01-16,328.86,7,97.2,"Transferencia",64.46
37,59,"M","Hogar",2023-07-06,91.39,8,10.38,"Transferencia",655.23
38,62,"F","Ropa",2023-03-27,371.53,6,76.73,"Cash",518.73
39,24,"M","Hogar",2023-05-11,480.38,5,44.43,"Transferencia",1334.74
40,26,"M","Electrónica",2023-01-05,121.26,1,85.77,"Tarjeta",17.26
41,58,"M","Alimentos",2023-04-03,196.51,6,20.21,"Tarjeta",940.77
42,27,"M","Ropa",2023-07-28,374.83,6,54.18,"Transferencia",1030.48
43,40,"M","Juguetes",2023-02-09,43.78,1,25.54,"Transferencia",32.6
44,44,"F","Hogar",2023-07-26,338.44,6,3.17,"Cash",1966.27
45,70,"F","Alimentos",2023-01-16,307.61,2,63.08,"Cash",227.14
46,24,"M","Juguetes",2023-12-04,217.95,9,77.85,"Cash",434.48
47,70,"M","Hogar",2023-04-30,438.09,8,26.42,"Transferencia",2578.77
48,44,"F","Ropa",2023-08-06,430.77,4,53.44,"Cash",802.27
49,49,"F","Ropa",2023-04-28,261.74,1,8.64,"Tarjeta",239.13
50,55,"F","Hogar",2023-06-07,414.49,6,5.41,"Tarjeta",2352.4
51,42,"M","Juguetes",2023-04-04,303.57,3,10.07,"Cash",819
52,51,"M","Alimentos",2023-01-10,72.24,6,38.25,"Transferencia",267.65
53,46,"F","Alimentos",2023-10-13,175.45,1,0,"Cash",175.45
54,22,"M","Ropa",2023-06-19,372.87,9,95.14,"Transferencia",163.09
55,44,"F","Hogar",2023-11-24,290.74,5,4.27,"Tarjeta",1391.63
56,29,"F","Alimentos",2023-03-25,7.1,1,28.98,"Cash",5.04
57,30,"M","Ropa",2023-04-12,183.99,8,65.06,"Transferencia",514.29
58,35,"F","Hogar",2023-03-31,93.07,10,62.47,"Transferencia",349.29
59,50,"F","Juguetes",2023-09-19,300.7,2,1.47,"Tarjeta",592.56
60,44,"M","Electrónica",2023-02-07,71.13,9,45.65,"Cash",347.93
61,42,"F","Hogar",2023-06-01,341.18,1,83.93,"Cash",54.83
62,55,"M","Electrónica",2023-02-26,409.55,5,81.79,"Transferencia",372.9
63,38,"F","Alimentos",2023-03-12,390.73,5,0,"Cash",1953.65
64,32,"M","Hogar",2023-04-09,437.41,3,35.59,"Tarjeta",845.21
65,58,"F","Alimentos",2023-12-15,194.65,2,43.87,"Tarjeta",218.51
66,64,"F","Ropa",2023-05-20,246.42,5,36.43,"Cash",783.25
67,43,"M","Alimentos",2023-09-23,223.54,5,78.03,"Cash",245.56
68,48,"M","Alimentos",2023-08-09,96.67,9,93.75,"Transferencia",54.38
69,33,"M","Alimentos",2023-10-13,91.03,1,27.41,"Transferencia",66.08
70,69,"F","Hogar",2023-11-02,399.17,4,65.07,"Transferencia",557.72
71,47,"M","Ropa",2023-10-02,320.85,2,97.8,"Cash",14.12
72,23,"F","Alimentos",2023-02-04,246.03,9,2.05,"Tarjeta",2168.88
73,60,"F","Juguetes",2023-08-04,154.97,4,30.01,"Transferencia",433.85
74,25,"F","Hogar",2023-03-10,38.03,7,99.44,"Tarjeta",1.49
75,39,"F","Hogar",2023-11-15,175.91,5,9.38,"Cash",797.05
76,39,"F","Ropa",2023-12-05,419.22,3,0,"Tarjeta",1257.66
77,56,"F","Ropa",2023-02-19,280.67,7,67.2,"Cash",644.42
78,48,"F","Alimentos",2023-11-04,412.81,6,80.34,"Tarjeta",486.95
79,65,"M","Electrónica",2023-10-26,22.48,10,13.31,"Tarjeta",194.88
80,34,"M","Ropa",2023-04-02,302.78,8,67.27,"Cash",792.8
81,67,"F","Alimentos",2023-03-29,427.58,5,43.66,"Transferencia",1204.49
82,44,"M","Juguetes",2023-09-21,450.54,7,23.57,"Tarjeta",2410.43
83,51,"M","Electrónica",2023-09-27,66.82,4,0.65,"Tarjeta",265.54
84,21,"M","Electrónica",2023-02-12,470.16,9,49.54,"Transferencia",2135.18
85,30,"F","Juguetes",2023-08-21,389.34,3,46.55,"Tarjeta",624.31
86,22,"F","Alimentos",2023-11-27,490.15,7,83.32,"Cash",572.3
87,68,"M","Electrónica",2023-05-04,172.74,3,5.61,"Cash",489.15
88,42,"F","Electrónica",2023-02-26,427.62,5,87.38,"Cash",269.83
89,69,"M","Ropa",2023-01-08,247.987691836735,4,10.41,"Cash",888.69
90,39,"F","Ropa",2023-08-02,469.39,7,11.81,"Transferencia",2897.69
91,42,"F","Alimentos",2023-07-22,344.17,4,12.54,"Transferencia",1204.04
92,49,"F","Electrónica",2023-01-27,192.41,6,65.89,"Tarjeta",393.79
93,63,"F","Hogar",2023-06-12,247.33,9,85.95,"Transferencia",312.75
94,42,"M","Ropa",2023-04-26,468.59,6,79.18,"Tarjeta",585.36
95,40,"M","Ropa",2023-02-06,244.07,5,51.91,"Tarjeta",586.87
96,52,"M","Ropa",2023-09-19,84.83,6,0,"Tarjeta",508.98
97,57,"F","Hogar",2023-09-12,205.02,10,82.62,"Transferencia",356.32
98,65,"F","Hogar",2023-04-06,482.56,1,82.42,"Tarjeta",84.83
99,47,"F","Juguetes",2023-01-24,490.99,7,68.33,"Transferencia",1088.48
100,29,"F","Juguetes",2023-09-03,179.54,8,20.05,"Cash",1148.34
101,48,"F","Juguetes",2023-10-08,468.54,5,33.04,"Transferencia",1568.67
102,63,"F","Alimentos",2023-10-20,56.15,4,12.74,"Cash",195.99
103,47,"M","Electrónica",2023-08-03,241.56,1,94.15,"Transferencia",14.13
104,52,"F","Ropa",2023-02-10,96.56,3,0,NA,289.68
105,31,"M","Alimentos",2023-08-26,169.75,3,56.58,"Cash",221.12
106,46,"F","Ropa",2023-05-09,226.62,4,23.25,"Transferencia",695.72
107,44,"F","Ropa",2023-10-02,156.94,10,2.1,"Tarjeta",1536.44
108,24,"F","Alimentos",2023-01-25,21.46,2,75.99,"Transferencia",10.31
109,20,"F","Hogar",2023-07-25,65.44,6,73.42,"Cash",104.36
110,40,"M","Alimentos",2023-01-21,383.32,7,32.53,"Tarjeta",1810.38
111,32,"M","Juguetes",2023-11-23,204.89,10,86.04,"Tarjeta",286.03
112,38,"M","Ropa",2023-01-17,446.96,7,1.78,"Transferencia",3073.03
113,54,"F","Alimentos",2023-06-27,257.48,2,11.66,"Transferencia",454.92
114,25,"F","Hogar",2023-04-02,30.25,3,51,"Cash",44.47
115,68,"M","Juguetes",2023-07-16,287.48,5,14.1,"Tarjeta",1234.73
116,27,"M","Juguetes",2023-02-06,482.28,3,43.2,"Cash",821.81
117,67,"M","Alimentos",2023-03-07,14.8,2,12.16,"Cash",26
118,59,"M","Hogar",2023-05-10,469.67,5,42.24,"Cash",1356.41
119,61,"F","Electrónica",2023-05-12,312.3,7,63.4,"Transferencia",800.11
120,51,"F","Electrónica",2023-05-03,185.94,4,63.28,"Transferencia",273.11
121,27,"M","Alimentos",2023-02-03,232.77,6,40.63,"Cash",829.17
122,39,"M","Ropa",2023-10-17,338.04,1,90.39,"Cash",32.49
123,29,"F","Electrónica",2023-03-25,45.95,8,8.2,"Transferencia",337.46
124,37,"M","Electrónica",2023-08-25,95.4,10,91.06,"Cash",85.29
125,63,"F","Hogar",2023-11-22,95.7,2,17.08,"Transferencia",158.71
126,34,"M","Alimentos",2023-02-02,156.71,2,14.82,"Tarjeta",266.97
127,63,"M","Electrónica",2023-10-02,257.98,2,3.53,"Transferencia",497.75
128,52,"F","Ropa",2023-04-06,310.11,5,78.02,"Cash",340.81
129,44,"F","Juguetes",2023-02-23,310.3,5,94.18,"Cash",90.3
130,63,"F","Ropa",2023-10-01,415.1,5,0,"Tarjeta",2075.5
131,68,"F","Ropa",2023-10-22,69.23,4,37.24,"Tarjeta",173.79
132,47,"F","Juguetes",2023-04-19,126.49,8,23.07,"Cash",778.47
133,32,"M","Electrónica",2023-11-28,67.46,7,27.71,"Tarjeta",341.37
134,41,"F","Hogar",2023-12-21,204.9,6,10.28,"Transferencia",1103.02
135,66,"F","Ropa",2023-05-08,421.98,4,57.22,"Cash",722.09
136,40,"F","Electrónica",2023-04-10,362.66,2,34.94,"Cash",471.89
137,60,"F","Juguetes",2023-05-21,196.84,1,51.38,"Cash",95.7
138,24,"F","Hogar",2023-10-24,312.83,6,45.56,"Transferencia",1021.83
139,46,"F","Juguetes",2023-04-07,439.3,7,57.01,"Tarjeta",1321.99
140,32,"F","Hogar",2023-02-23,218.03,10,83.38,"Cash",362.37
141,44,"M","Ropa",2023-01-14,409.2,4,0,"Transferencia",1636.8
142,43,"F","Juguetes",2023-10-25,152.37,4,36.66,NA,386.04
143,55,"F","Electrónica",2023-07-25,241.15,1,49.69,NA,121.32
144,63,"M","Hogar",2023-05-18,96.81,1,36.85,"Tarjeta",61.14
145,49,"F","Hogar",2023-12-01,36.64,8,89.03,"Tarjeta",32.16
146,24,"F","Electrónica",2023-12-06,87.79,9,7.92,"Cash",727.53
147,44,"F","Juguetes",2023-07-17,277.59,9,27.13,"Cash",1820.52
148,59,"F","Juguetes",2023-05-18,364.51,4,57.1,"Transferencia",625.5
149,22,"F","Juguetes",2023-02-15,193.4,4,41,"Transferencia",456.42
150,23,"F","Juguetes",2023-04-21,316.21,6,48.5,"Tarjeta",977.09
151,33,"F","Ropa",2023-04-25,244.81,7,19.4,"Tarjeta",1381.22
152,41,"F","Ropa",2023-01-18,89.68,8,43.65,"Cash",404.28
153,49,"F","Hogar",2023-11-17,339.65,8,50.8,"Transferencia",1336.86
154,38,"F","Hogar",2023-01-30,458.53,7,2.18,"Transferencia",3139.74
155,28,"F","Juguetes",2023-06-05,153.44,9,51.41,"Transferencia",671.01
156,53,"F","Hogar",2023-01-02,6.62,9,35.9,"Cash",38.19
157,61,"F","Hogar",2023-10-20,411.07,7,36.32,"Cash",1832.39
158,63,"F","Electrónica",2023-05-23,172.91,3,45.02,"Tarjeta",285.2
159,44,"M","Ropa",2023-04-12,303.09,5,0,NA,1515.45
160,42,"F","Juguetes",2023-11-07,284.64,3,54.74,"Transferencia",386.48
161,56,"M","Alimentos",2023-08-07,155.47,5,88.39,"Transferencia",90.25
162,43,"M","Juguetes",2023-04-05,11.11,10,20.28,"Cash",88.57
163,26,"F","Ropa",2023-03-07,181.96,4,0,"Transferencia",727.84
164,24,"M","Juguetes",2023-01-11,452.35,2,35.55,"Cash",583.08
165,51,"M","Electrónica",2023-01-07,492.33,7,70.37,"Transferencia",1021.14
166,65,"F","Juguetes",2023-09-25,150.44,1,37.76,"Tarjeta",93.63
167,30,"M","Ropa",2023-02-16,251.42,7,93.46,"Transferencia",115.1
168,36,"M","Hogar",2023-12-14,436.78,5,96.39,NA,78.84
169,69,"M","Hogar",2023-07-21,247.987691836735,8,0,"Cash",1983.9
170,64,"M","Ropa",2023-08-31,159.76,10,70.4,"Cash",472.89
171,56,"F","Ropa",2023-03-21,247.987691836735,5,71.63,"Tarjeta",351.77
172,21,"M","Ropa",2023-01-26,34.86,7,36.7,"Transferencia",154.46
173,18,"F","Ropa",2023-03-09,372.55,1,0,"Tarjeta",372.55
174,57,"F","Ropa",2023-04-04,376.61,9,56.36,"Cash",1479.17
175,47,"M","Alimentos",2023-03-26,23.6,4,18.73,"Tarjeta",76.72
176,47,"M","Electrónica",2023-08-25,193.68,3,55.94,"Tarjeta",256.01
177,69,"M","Alimentos",2023-08-09,414.19,6,29.12,"Transferencia",1761.47
178,42,"M","Hogar",2023-06-03,236.49,10,88.18,"Transferencia",279.53
179,33,"F","Electrónica",2023-06-20,42.4,3,55.54,"Transferencia",56.55
180,41,"F","Hogar",2023-06-10,195.23,9,51.53,"Tarjeta",851.65
181,28,"F","Hogar",2023-11-10,157.01,1,60.03,"Tarjeta",62.76
182,65,"F","Juguetes",2023-01-07,226.34,6,54.19,"Transferencia",622.12
183,37,"F","Ropa",2023-02-18,290.38,9,99.09,"Cash",23.78
184,57,"F","Electrónica",2023-04-09,134.39,6,48.29,"Cash",416.96
185,20,"F","Alimentos",2023-06-15,15.8,5,72.79,"Cash",21.5
186,46,"M","Juguetes",2023-03-20,163.81,8,94.39,"Transferencia",73.52
187,53,"M","Electrónica",2023-03-19,475,3,51.3,"Transferencia",693.98
188,69,"M","Electrónica",2023-06-22,177.61,4,25.2,"Cash",531.41
189,61,"F","Hogar",2023-01-23,390.54,1,27.68,"Transferencia",282.44
190,39,"M","Alimentos",2023-11-23,423.08,5,80.93,"Cash",403.41
191,44,"F","Ropa",2023-08-14,167.36,2,36.47,"Tarjeta",212.65
192,59,"M","Juguetes",2023-05-04,48.68,4,84.05,"Cash",31.06
193,37,"F","Electrónica",2023-12-05,437.81,6,4.44,"Cash",2510.23
194,28,"M","Alimentos",2023-11-05,382.09,10,84.65,"Cash",586.51
195,25,"M","Alimentos",2023-12-12,44.78,7,61.24,"Transferencia",121.5
196,44,"F","Hogar",2023-02-06,236.76,6,24.9,"Tarjeta",1066.84
197,38,"M","Alimentos",2023-01-16,178.75,10,75.04,"Transferencia",446.16
198,62,"M","Electrónica",2023-04-28,390.95,3,86.51,"Tarjeta",158.22
199,19,"F","Alimentos",2023-11-07,50.54,7,81.5,"Cash",65.45
200,60,"F","Electrónica",2023-07-06,251.98,3,48.22,"Tarjeta",391.43
201,44,"M","Alimentos",2023-11-13,260.61,9,30.2,"Transferencia",1637.15
202,63,"F","Hogar",2023-10-11,17.11,5,49.01,"Cash",43.62
203,23,"M","Electrónica",2023-08-18,386.5,8,43.14,"Transferencia",1758.11
204,25,"M","Alimentos",2023-06-13,31.28,9,41.31,"Transferencia",165.22
205,61,"F","Juguetes",2023-05-11,49.58,8,17.8,"Tarjeta",326.04
206,49,"F","Hogar",2023-12-01,85.59,10,87.28,"Tarjeta",108.87
207,53,"M","Ropa",2023-07-31,412.6,5,78.85,"Transferencia",436.32
208,44,"M","Hogar",2023-07-09,248.85,1,16.54,"Cash",207.69
209,31,"F","Ropa",2023-05-12,99.56,2,9.75,"Cash",179.71
210,70,"F","Electrónica",2023-05-22,263.61,5,29.88,"Cash",924.22
211,33,"F","Ropa",2023-05-16,328.29,4,54.19,"Cash",601.56
212,40,"F","Hogar",2023-01-28,181.76,9,88.23,"Cash",192.54
213,50,"F","Alimentos",2023-02-10,130.5,10,19.37,"Transferencia",1052.22
214,57,"M","Juguetes",2023-09-28,178.57,8,45.24,"Tarjeta",782.28
215,57,"F","Ropa",2023-01-19,348.65,4,31.65,"Tarjeta",953.21
216,27,"F","Juguetes",2023-03-21,293.77,8,49.89,"Tarjeta",1177.67
217,42,"F","Ropa",2023-02-14,247.987691836735,5,74.42,"Transferencia",317.18
218,25,"M","Electrónica",2023-12-10,53.72,9,58.92,"Tarjeta",198.61
219,35,"F","Hogar",2023-09-06,64.85,5,26.28,"Tarjeta",239.04
220,70,"M","Ropa",2023-03-06,147.98,6,27.88,"Cash",640.34
221,26,"F","Electrónica",2023-04-27,309.2,2,25.3,"Cash",461.94
222,24,"F","Juguetes",2023-09-17,62.01,9,61.25,"Transferencia",216.26
223,24,"F","Electrónica",2023-12-20,142,10,30.92,"Transferencia",980.94
224,27,"M","Alimentos",2023-05-18,458.93,2,99.43,"Tarjeta",5.23
225,41,"F","Ropa",2023-06-18,443.46,2,46.95,"Tarjeta",470.51
226,40,"M","Alimentos",2023-09-06,14.7,3,68.27,"Tarjeta",13.99
227,43,"M","Electrónica",2023-05-20,251.61,3,71.88,"Tarjeta",212.26
228,60,"F","Juguetes",2023-02-13,16.26,6,22.33,"Tarjeta",75.77
229,50,"M","Electrónica",2023-03-06,129.49,6,75.54,"Cash",190.04
230,46,"M","Ropa",2023-03-30,28.82,8,79.23,"Transferencia",47.89
231,68,"M","Alimentos",2023-05-12,406.46,10,85.05,"Cash",607.66
232,27,"F","Alimentos",2023-11-20,235.77,2,5.15,"Tarjeta",447.26
233,70,"M","Alimentos",2023-03-25,275.63,4,59.55,"Tarjeta",445.97
234,30,"M","Electrónica",2023-09-18,246.87,5,35.44,"Transferencia",796.9
235,60,"M","Alimentos",2023-02-25,489.34,2,76.82,"Cash",226.86
236,28,"F","Juguetes",2023-04-01,158.39,6,15.06,"Tarjeta",807.22
237,42,"F","Juguetes",2023-02-01,85.72,4,80.7,"Cash",66.18
238,69,"M","Electrónica",2023-01-23,145.67,4,81.73,"Cash",106.46
239,43,"F","Electrónica",2023-05-04,458.63,7,10.23,"Cash",2881.99
240,24,"F","Alimentos",2023-05-14,365.17,2,2.9,"Cash",709.16
241,42,"M","Ropa",2023-08-21,376.98,10,25.24,"Tarjeta",2818.3
242,40,"F","Hogar",2023-08-18,52.4,7,39.25,"Cash",222.83
243,43,"F","Ropa",2023-06-10,191.52,7,12.28,"Cash",1176.01
244,49,"F","Ropa",2023-12-30,238.08,6,22.58,"Cash",1105.93
245,37,"F","Alimentos",2023-06-14,273.85,6,43.89,"Tarjeta",921.94
246,41,"M","Ropa",2023-04-01,224.77,5,99.12,"Cash",9.89
247,26,"M","Ropa",2023-07-31,48.99,6,45.55,"Transferencia",160.05
248,58,"F","Electrónica",2023-05-27,124.29,4,19.67,"Cash",399.37
249,54,"M","Hogar",2023-03-02,125.22,6,30.81,"Cash",519.84
250,40,"M","Alimentos",2023-03-03,293.83,8,66.89,"Transferencia",778.3
251,31,"M","Hogar",2023-11-28,220.45,1,13.73,"Cash",190.18
252,63,"M","Juguetes",2023-12-03,394.7,5,56.93,"Transferencia",849.99
253,23,"M","Juguetes",2023-07-12,341.63,6,5.9,"Cash",1928.84
254,44,"M","Juguetes",2023-06-12,247.987691836735,4,8.68,"Tarjeta",905.85
255,18,"M","Electrónica",2023-09-19,318.43,7,12.11,"Tarjeta",1959.08
256,43,"M","Alimentos",2023-11-23,122.33,3,2.25,"Cash",358.73
257,59,"M","Hogar",2023-04-28,261.61,2,0,"Tarjeta",523.22
258,66,"F","Ropa",2023-02-22,487,10,49.07,"Transferencia",2480.29
259,44,"M","Electrónica",2023-06-01,270.88,10,92.8,"Transferencia",195.03
260,46,"M","Ropa",2023-05-24,220.9,8,73.38,"Cash",470.43
261,43,"F","Alimentos",2023-06-18,475.63,10,79.13,"Transferencia",992.64
262,44,"M","Juguetes",2023-07-10,6.32,5,43.58,"Tarjeta",17.83
263,38,"F","Hogar",2023-10-07,197.45,1,87.56,"Tarjeta",24.56
264,24,"M","Electrónica",2023-07-30,357.18,1,12.57,"Cash",312.28
265,70,"M","Juguetes",2023-04-30,311.4,6,4.93,"Tarjeta",1776.29
266,43,"F","Juguetes",2023-02-24,399.74,7,52.06,"Transferencia",1341.45
267,58,"M","Hogar",2023-10-02,140.67,10,42.25,"Tarjeta",812.37
268,37,"M","Hogar",2023-12-03,221.24,1,96.47,"Cash",7.81
269,23,"M","Hogar",2023-12-25,15.85,5,66.74,"Transferencia",26.36
270,67,"M","Juguetes",2023-04-06,457.73,6,99.92,"Transferencia",2.2
271,47,"F","Juguetes",2023-12-04,26.7,9,62.29,"Tarjeta",90.62
272,48,"M","Juguetes",2023-04-28,149.13,8,62.27,"Tarjeta",450.13
273,46,"F","Ropa",2023-06-24,142.07,1,23.37,"Tarjeta",108.87
274,34,"F","Ropa",2023-04-07,273.52,8,15.2,"Tarjeta",1855.56
275,44,"F","Ropa",2023-12-04,68.53,10,10.9,"Transferencia",610.6
276,37,"M","Juguetes",2023-07-17,84.33,3,73.44,"Transferencia",67.19
277,52,"F","Hogar",2023-08-20,51.62,6,80.13,"Tarjeta",61.54
278,42,"M","Juguetes",2023-07-31,196.33,3,4.17,"Tarjeta",564.43
279,63,"M","Alimentos",2023-12-21,347.74,4,84.19,"Tarjeta",219.91
280,50,"F","Electrónica",2023-12-17,95.21,2,40.76,"Tarjeta",112.8
281,19,"M","Alimentos",2023-04-27,297.52,4,1.8,"Cash",1168.66
282,21,"F","Electrónica",2023-02-05,28.66,8,86.7,"Cash",30.49
283,27,"M","Electrónica",2023-05-23,64.43,5,0,"Tarjeta",322.15
284,50,"F","Juguetes",2023-07-16,243.29,5,87.87,"Tarjeta",147.56
285,22,"F","Hogar",2023-08-31,203.18,1,12.86,"Cash",177.05
286,70,"M","Alimentos",2023-05-09,29.79,7,23.22,"Tarjeta",160.11
287,42,"F","Electrónica",2023-10-20,205.78,10,89.55,"Cash",215.04
288,25,"M","Alimentos",2023-06-05,229.43,5,77.62,"Cash",256.73
289,42,"F","Ropa",2023-10-21,397.31,1,74.41,"Transferencia",101.67
290,38,"F","Ropa",2023-09-25,437.7,10,80.82,"Cash",839.51
291,62,"F","Alimentos",2023-12-15,74.7,9,28.27,"Cash",482.24
292,35,"M","Ropa",2023-07-25,163.89,5,77.64,"Transferencia",183.23
293,59,"F","Ropa",2023-02-21,335.58,3,86.57,"Tarjeta",135.21
294,48,"F","Ropa",2023-12-17,12.04,3,5.63,"Transferencia",34.09
295,23,"M","Hogar",2023-08-08,248.79,3,91.99,"Transferencia",59.78
296,24,"M","Ropa",2023-07-10,205.78,3,52.7,"Cash",292
297,58,"M","Ropa",2023-12-20,241.67,6,0,"Cash",1450.02
298,65,"M","Ropa",2023-04-08,193.07,9,97.22,"Cash",48.31
299,34,"M","Alimentos",2023-10-11,151.71,9,87.9,"Transferencia",165.21
300,70,"M","Electrónica",2023-04-17,109.12,10,57.37,"Cash",465.18
301,44,"F","Juguetes",2023-07-04,356.19,5,47.07,"Cash",942.66
302,45,"F","Hogar",2023-02-05,484.02,10,0,"Transferencia",4840.2
303,70,"F","Juguetes",2023-12-03,76.46,1,66.04,"Transferencia",25.97
304,57,"F","Ropa",2023-09-18,129.3,7,28.05,"Cash",651.22
305,70,"M","Electrónica",2023-12-25,203.31,3,16.39,"Transferencia",509.96
306,24,"F","Juguetes",2023-09-07,473.32,6,68.14,"Cash",904.8
307,37,"M","Alimentos",2023-10-20,363.85,1,34.39,"Cash",238.72
308,35,"F","Electrónica",2023-10-29,161.67,8,16.64,"Transferencia",1078.14
309,46,"M","Juguetes",2023-12-23,369.12,8,41.58,"Tarjeta",1725.12
310,34,"F","Electrónica",2023-09-21,267.84,4,35.74,"Transferencia",688.46
311,50,"M","Hogar",2023-07-31,157.55,6,37.33,"Cash",592.42
312,19,"F","Alimentos",2023-04-11,219.2,4,73.4,"Tarjeta",233.23
313,66,"M","Ropa",2023-01-15,428.93,3,91.13,"Tarjeta",114.14
314,19,"F","Juguetes",2023-07-19,148.17,6,39.14,"Transferencia",541.06
315,30,"F","Alimentos",2023-09-01,318.84,9,30.82,"Cash",1985.16
316,41,"M","Alimentos",2023-03-18,100.73,8,99.55,"Transferencia",3.63
317,66,"F","Alimentos",2023-09-06,50.71,5,78.46,"Cash",54.61
318,20,"M","Hogar",2023-12-18,109.57,8,72.51,"Transferencia",240.97
319,35,"F","Ropa",2023-11-27,411.99,4,77.01,"Transferencia",378.87
320,19,"M","Alimentos",2023-04-18,109.1,6,42.01,"Tarjeta",379.6
321,54,"F","Juguetes",2023-06-13,467.43,6,17.1,"Cash",2325
322,29,"M","Juguetes",2023-09-18,308.16,3,83.38,"Tarjeta",153.65
323,30,"F","Electrónica",2023-09-28,498.26,4,33.21,"Cash",1331.15
324,44,"F","Ropa",2023-12-06,183.22,7,91.53,"Tarjeta",108.63
325,23,"M","Hogar",2023-08-03,49.29,7,29.52,"Transferencia",243.18
326,59,"M","Ropa",2023-02-05,209.27,9,54.08,"Transferencia",864.87
327,59,"F","Alimentos",2023-02-02,428.98,5,79.19,"Tarjeta",446.35
328,55,"F","Electrónica",2023-03-22,249.81,3,96.53,"Transferencia",26.01
329,65,"M","Juguetes",2023-04-13,259.8,5,33.87,"Cash",859.03
330,33,"M","Alimentos",2023-10-02,241.78,9,2.92,"Tarjeta",2112.48
331,52,"F","Ropa",2023-12-29,311.08,9,23.35,"Cash",2145.99
332,53,"F","Hogar",2023-07-18,64.94,8,3.71,"Tarjeta",500.25
333,44,"F","Alimentos",2023-04-13,180.94,3,36.41,"Tarjeta",345.18
334,44,"F","Juguetes",2023-04-06,226.48,7,50.09,"Tarjeta",791.25
335,52,"M","Juguetes",2023-08-07,305.29,2,94.49,"Transferencia",33.64
336,40,"F","Electrónica",2023-01-23,123.86,6,93.13,"Tarjeta",51.06
337,20,"F","Ropa",2023-10-13,278.61,9,33.27,"Cash",1673.25
338,48,"F","Alimentos",2023-09-12,230.61,10,69.6,"Tarjeta",701.05
339,65,"F","Ropa",2023-05-27,213.32,2,81.69,"Transferencia",78.12
340,19,"F","Juguetes",2023-03-23,108.21,8,97.47,"Transferencia",21.9
341,64,"F","Electrónica",2023-05-15,413.59,10,30.36,"Transferencia",2880.24
342,40,"F","Hogar",2023-06-05,185.04,9,52.77,"Transferencia",786.55
343,20,"M","Juguetes",2023-06-22,182.57,6,42.78,"Cash",626.8
344,26,"F","Alimentos",2023-06-25,215.3,10,46.58,"Tarjeta",1150.13
